,steamID,games_used,friends_available,num_friends,num_games,total_playtime_forever,total_playtime_2weeks,avg_playtime_per_game,recommend_rate
0,76561197960265778,1,0,397,857,1474519,3830,1720.558926487748,0.5834305717619603
1,76561197960265822,1,0,0,352,769307,0,2185.53125,0.5681818181818182
2,76561197960265841,1,0,82,386,65461,1613,169.5880829015544,3.8860103626943006
